SOE_18,COMNAME,Fed_Managed
Other,SCOOPHEAD SHARK,NA
Other,SCORPIONFISH AND ROCKFISH UNCL,NA
Other,SCRAWLED COWFISH,NA
Other,SCRAWLED FILEFISH,NA
Planktivore,SCULPIN UNCL,NA
Benthivore,SCUP,MAFMC
Other,SEA BASS UNCL,NA
Other,"SEA BASS,NK",NA
Benthos,SEA CUCUMBER,NA
Other,SEA LAMPREY,NA
Other,SEA LETTUCE,NA
Piscivore,SEA RAVEN,NA
Piscivore,SEA RAVEN,NA
Benthos,SEA SCALLOP,NEFMC
Other,SEA SCALLOP CLAPPER,NA
Other,SEA STAR - BRITTLE STAR - AND BASKETS,NA
Other,"SEA TROUT,UNC",NA
Benthos,SEA URCHIN AND SAND DOLLAR UNCL,NA
Benthos,SEA URCHINS,NA
Other,SEAROBIN UNCL,NA
Other,"SEAROBINS,NORTH AMERICAN",NA
Other,SEAWEED BLENNY,NA
Other,"SEAWEED,UNC",NA
Other,SERGEANT MAJOR,NA
Other,SEVENSPINE BAY SHRIMP,NA
Other,SHARK EYE,NA
Apex Predator,SHARK UNCL,NA
Other,"SHARK,CARCHARHIN,NK",NA
Other,"SHARK,CARIBBEAN SHARPNOSE",NA
Other,"SHARK,GREENLAND",NA
Other,"SHARK,HAMMERHEAD",NA
Other,"SHARK,MAKO UNC",NA
Other,"SHARK,PELAGIC,NK",NA
Other,"SHARK,SMALL COASTAL SPECIES",NA
Other,"SHARK,THRESHER UNC",NA
Other,"SHARK,UNC",NA
Other,SHARKSUCKER,NA
Other,SHARPNOSE PUFFER,NA
Other,SHEEPSHEAD,NA
Other,SHEEPSHEAD MINNOW,NA
Other,SHEEPSHEAD PORGY,NA
Other,SHERBORN'S CARDINALFISH,NA
Other,SHIELD BOBTAIL,NA
